p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,5.91555937485585,0.783,0.046,0,6,Col1a1
0,6.52194844100983,0.759,0.024,0,6,Aldh1a2
0,3.3385396013003,0.894,0.218,0,6,Nr2f2
0,5.48919898151876,0.665,0.039,0,6,Cyp1b1
0,6.22627106976101,0.643,0.031,0,6,Fmod
0,3.33257184290167,0.797,0.199,0,6,Fn1
0,2.43486242527981,0.773,0.178,0,6,Pdgfra
0,3.67718250843405,0.633,0.072,0,6,Slc13a4
0,5.80621535680125,0.547,0.027,0,6,Spp1
0,5.14306744616142,0.56,0.043,0,6,Gjb2
0,3.24990748358854,0.636,0.122,0,6,Ccn2
0,2.89601914826598,0.61,0.135,0,6,Acvrl1
0,2.68643144449633,0.623,0.173,0,6,Pecam1
0,3.13421882653939,0.521,0.094,0,6,Cd93
0,2.35502349097487,0.667,0.252,0,6,Ly6a
0,4.91875237780552,0.47,0.091,0,6,Acta2
0,2.31419324170345,0.557,0.181,0,6,Col6a1
0,2.4506849789142,0.527,0.159,0,6,Kdr
0,2.14117082518228,0.511,0.148,0,6,Cldn5
0,1.98687939231138,0.523,0.179,0,6,Adgrl4
0,2.67165223153504,0.451,0.108,0,6,Fgd5
0,2.75068709369289,0.423,0.112,0,6,Carmn
0,2.36765465192117,0.353,0.086,0,6,Slfn5
0,5.26730914359807,0.174,0.017,0,6,Pln
1.1773494678942e-298,2.21811347854678,0.367,0.101,2.91982668037762e-296,6,Mecom
2.76332865817934e-271,2.30822885543989,0.308,0.077,6.85305507228476e-269,6,Sox17
6.73815982612472e-241,2.15888863980776,0.308,0.085,1.67106363687893e-238,6,Paqr5
1.06646932963259e-199,1.24678757005046,0.589,0.285,2.64484393748883e-197,6,Cobll1
2.00995445958262e-183,2.30572918042463,0.59,0.367,4.9846870597649e-181,6,Lyz2
2.01256924423685e-165,1.83020511929099,0.276,0.089,4.99117172570738e-163,6,Zfp366
1.20543179460014e-160,1.95508932137788,0.217,0.06,2.98947085060834e-158,6,Prph
7.00299774760662e-144,1.82329953010329,0.29,0.104,1.73674344140644e-141,6,Emcn
3.89406243786651e-132,1.67480198405289,0.364,0.164,9.65727484590895e-130,6,Angpt1
4.15394055276683e-124,1.14113459070334,0.656,0.416,1.03017725708617e-121,6,Igfbp4
5.78616270347981e-109,1.267792759679,0.59,0.408,1.43496835046299e-106,6,Gfap
1.6985487415954e-106,1.04723171937833,0.732,0.614,4.21240087915659e-104,6,Igfbp5
8.20536983699479e-104,1.81525274426737,0.232,0.089,2.03493171957471e-101,6,Adamts2
4.82265604374179e-102,1.41126297983788,0.253,0.1,1.19601869884796e-99,6,Nostrin
4.7686494890836e-89,1.69668412427973,0.182,0.064,1.18262507329273e-86,6,Ror1
1.21899622652915e-75,1.10859792574892,0.209,0.085,3.02311064179228e-73,6,Cspg4
2.61412693309756e-73,1.41017133312058,0.208,0.088,6.48303479408196e-71,6,Sema3d
3.09278699747688e-68,1.22410020079805,0.264,0.129,7.67011175374265e-66,6,Pglyrp1
2.08896427919763e-53,1.06301503094329,0.18,0.081,5.18063141241012e-51,6,Igf1
5.89610879281831e-48,1.39191256323782,0.145,0.062,1.46223498061894e-45,6,Cd44
1.29161501786438e-45,1.32640613638027,0.349,0.233,3.20320524430366e-43,6,Inpp4b
5.39220919097693e-42,1.25808767444329,0.099,0.037,1.33726787936228e-39,6,Pthlh
3.79130624951067e-39,1.16124589424237,0.154,0.073,9.40243949878646e-37,6,Sntb1
1.23152379305891e-26,1.4161190339196,0.142,0.076,3.05417900678611e-24,6,Ano1
1.05313620882383e-25,1.20275837895779,0.245,0.163,2.6117777978831e-23,6,Cd68
1.11736249052007e-16,1.42792894838575,0.362,0.323,2.77105897648977e-14,6,Igfbp6
0,2.77049623211562,0.898,0.242,0,7,Myo16
0,3.22317867428246,0.78,0.144,0,7,Rspo1
0,2.46186764658429,0.764,0.191,0,7,Prr16
0,1.72087039326525,0.949,0.406,0,7,Satb2
0,2.06055994006653,0.806,0.266,0,7,Cdh6
0,1.96051026977392,0.957,0.417,0,7,Tmem132d
0,1.57621543017384,0.85,0.313,0,7,Pdzrn3
0,1.52100887416867,0.935,0.407,0,7,Car4
0,2.65014427750508,0.666,0.139,0,7,Cbln4
0,1.88956537482605,0.864,0.352,0,7,Nell1
0,2.81015171295562,0.997,0.489,0,7,Rorb
0,1.11396486878775,0.84,0.363,0,7,Lamp5
0,2.23283664654179,0.99,0.513,0,7,Plcxd2
0,1.08164341931337,0.775,0.3,0,7,Prdm8
0,1.61712499829681,0.84,0.369,0,7,Syndig1
0,2.55204038754136,0.994,0.539,0,7,Kcnh5
0,1.87158384909841,0.657,0.208,0,7,Cntnap5b
0,1.68916220324728,0.901,0.459,0,7,Cux2
0,1.65476197657439,0.977,0.536,0,7,Fhod3
0,1.43583857101061,0.657,0.238,0,7,Sema3a
0,1.52042267095055,0.878,0.487,0,7,Gfra2
0,1.79499432633059,0.999,0.654,0,7,Rims3
0,1.04797197994171,0.944,0.642,0,7,Nrep
0,1.03770766233105,1,0.856,0,7,Nrn1
6.17329083026364e-208,1.0518348459462,0.674,0.33,1.53097612590538e-205,7,Cpne8
1.95906349319318e-63,1.15090412580806,0.209,0.091,4.85847746311909e-61,7,Fos
0,3.35588946064099,0.887,0.185,0,8,Nxph3
0,3.71376532757701,0.906,0.208,0,8,Rprm
0,2.39213877923135,0.827,0.167,0,8,Syt6
0,2.82379333981159,0.811,0.165,0,8,Foxp2
0,2.38944697546293,0.888,0.243,0,8,Fezf2
0,2.43327633893452,0.939,0.306,0,8,Grik3
0,2.94528511684731,0.774,0.154,0,8,Arhgap25
0,2.97365545814372,0.834,0.217,0,8,Gadd45a
0,2.59505250724029,0.781,0.171,0,8,Htr1f
0,2.30098331624659,0.783,0.182,0,8,Hs3st2
0,3.22558978708424,0.761,0.161,0,8,Myl4
0,2.40032815284998,0.832,0.256,0,8,Sdk2
0,1.34615939109779,0.926,0.376,0,8,Bcl11b
0,1.87694540041276,0.793,0.245,0,8,Rnf152
0,1.9472684983515,0.843,0.305,0,8,Igsf21
0,2.01576857186476,0.93,0.402,0,8,Igfbp4
0,1.01626701004976,0.957,0.464,0,8,Neurod6
0,2.10519979457979,0.665,0.19,0,8,Zfpm2
0,1.55706270740486,0.876,0.417,0,8,Neto2
0,2.09952609656434,0.634,0.178,0,8,Col6a1
0,1.22258674986235,0.921,0.485,0,8,Gfra2
0,2.30417207690895,0.991,0.585,0,8,Tle4
0,3.52022767688545,0.432,0.041,0,8,Trbc2
0,1.42412353647401,0.567,0.188,0,8,Cdh9
0,2.04987415942775,0.486,0.117,0,8,Cwh43
0,2.52499699173448,0.998,0.664,0,8,Garnl3
0,1.29310274243552,0.866,0.538,0,8,Meis2
0,1.49353749357256,0.994,0.723,0,8,Dkk3
0,2.83871082205944,0.296,0.049,0,8,Sla
0,1.0567840387334,1,0.875,0,8,Slc17a7
4.12218377735229e-297,1.78878103584386,0.315,0.071,1.02230157678337e-294,8,Rxfp1
3.93902476369794e-283,1.44849489779316,0.661,0.286,9.7687814139709e-281,8,Plcxd3
1.43019017854988e-117,1.95526482658142,0.16,0.042,3.54687164280369e-115,8,Prss35
3.71136340373832e-109,1.06507214767827,0.314,0.128,9.20418124127103e-107,8,Sema5b
5.8366322527163e-90,1.21293198168844,0.291,0.127,1.44748479867364e-87,8,Pcsk5
7.37445492539559e-74,1.20609373947988,0.226,0.095,1.82886482149811e-71,8,Rspo2
9.29863911336542e-60,1.43944317763167,0.107,0.034,2.30606250011462e-57,8,Nts
3.58976977529342e-53,1.11192670977067,0.253,0.129,8.90262904272769e-51,8,Stard5
0,3.94227652465127,0.999,0.415,0,9,Cabp7
0,1.91947948449522,0.943,0.392,0,9,Gfap
0,2.42603053187551,0.753,0.255,0,9,Orai2
0,2.09362283054341,0.605,0.183,0,9,Gm2115
0,1.97147270993533,0.587,0.178,0,9,Shisa6
0,1.73252194449484,0.595,0.221,0,9,Hapln1
0,1.51255728937164,0.861,0.515,0,9,Aqp4
0,1.40425164627456,0.829,0.485,0,9,Sipa1l3
0,1.18577698042307,0.947,0.605,0,9,Clmn
0,1.5895520519528,0.919,0.606,0,9,Ntsr2
0,1.42385733436197,0.933,0.669,0,9,Acsbg1
8.32353727724584e-267,1.31322318847509,0.796,0.448,2.06423724475697e-264,9,Slc39a12
1.8730977420893e-263,1.19744359731208,0.906,0.676,4.64528240038145e-261,9,2010300C02Rik
1.55882193457375e-251,1.45652561496211,0.697,0.341,3.86587839774291e-249,9,Arhgap12
1.30823592437867e-233,1.05164295171648,0.821,0.509,3.24442509245909e-231,9,Kctd12
1.28960663639608e-190,1.16589027256317,0.583,0.259,3.19822445826227e-188,9,Rfx4
5.08109838741502e-81,1.03358187865448,0.348,0.166,1.26011240007892e-78,9,Angpt1
7.29094007245112e-77,1.16879489320187,0.238,0.097,1.80815313796788e-74,9,Fibcd1
7.65722874874906e-59,1.01672356650793,0.308,0.161,1.89899272968977e-56,9,Cldn5
4.8624715254289e-53,1.01037747224125,0.26,0.13,1.20589293830637e-50,9,Pglyrp1
3.47312720140923e-42,2.32445351546567,0.088,0.029,8.61335545949488e-40,9,Trp73
2.95841838343202e-26,1.36153006350447,0.285,0.204,7.3368775909114e-24,9,Pou3f1
2.35338343214229e-13,1.43492770042814,0.094,0.053,5.83639091171289e-11,9,Ebf3
0,3.0008569770838,0.731,0.122,0,10,Calb2
0,2.39339447452113,0.905,0.296,0,10,Slc17a6
0,1.84994913288923,0.808,0.257,0,10,Necab2
0,2.14382629980637,0.741,0.247,0,10,Tmem163
0,2.50841285976213,0.498,0.153,0,10,Tmem255a
0,2.49335544194335,0.448,0.11,0,10,Plch1
0,2.39218269074776,0.357,0.074,0,10,Fign
0,3.59792942462906,0.333,0.061,0,10,Cbln1
